parameters,performance
('Layers: [4, 4, 2, 3], Learning rate: 0.0001220703125, Epochs: 2', 527.6711201140768)
('Layers: [4, 16, 3], Learning rate: 0.0001220703125, Epochs: 3', 526.9548828640598)
('Layers: [4, 4, 3], Learning rate: 0.0001220703125, Epochs: 1', 525.5056535560426)
('Layers: [4, 256, 8, 3], Learning rate: 0.000244140625, Epochs: 2', 525.4582214580926)
('Layers: [4, 64, 512, 3], Learning rate: 0.0001220703125, Epochs: 1', 523.7737565460959)
('Layers: [4, 8, 1024, 3], Learning rate: 0.000244140625, Epochs: 1', 523.4905274206097)
('Layers: [4, 16, 3], Learning rate: 0.0001220703125, Epochs: 8', 522.9560994655166)
('Layers: [4, 16, 16, 3], Learning rate: 0.00048828125, Epochs: 2', 516.8561505127994)
('Layers: [4, 16, 256, 3], Learning rate: 0.000244140625, Epochs: 1', 515.7732228892867)
('Layers: [4, 512, 256, 3], Learning rate: 0.000244140625, Epochs: 2', 515.6926819160342)
('Layers: [4, 8, 32, 3], Learning rate: 0.000244140625, Epochs: 1', 515.1248168529842)
('Layers: [4, 512, 3, 3], Learning rate: 0.0001220703125, Epochs: 1', 515.0076875978862)
('Layers: [4, 128, 16, 3], Learning rate: 0.0001220703125, Epochs: 7', 515.0030409787502)
('Layers: [4, 32, 8, 3], Learning rate: 0.0001220703125, Epochs: 1', 514.9488641757287)
('Layers: [4, 16, 4, 3], Learning rate: 0.0001220703125, Epochs: 6', 514.5469311988871)
('Layers: [4, 32, 128, 3], Learning rate: 0.0001220703125, Epochs: 2', 514.5096263957914)
('Layers: [4, 8, 128, 3], Learning rate: 0.0001220703125, Epochs: 3', 513.8992758035985)
('Layers: [4, 32, 32, 3], Learning rate: 0.0001220703125, Epochs: 1', 512.8026443416599)
('Layers: [4, 4, 32, 3], Learning rate: 0.0001220703125, Epochs: 2', 512.1430562488)
('Layers: [4, 8, 128, 3], Learning rate: 0.0001220703125, Epochs: 1', 511.7874555260837)
('Layers: [4, 4, 3, 3], Learning rate: 0.0001220703125, Epochs: 2', 509.9355493764025)
('Layers: [4, 512, 16, 3], Learning rate: 0.0001220703125, Epochs: 5', 509.2414691446649)
('Layers: [4, 4, 64, 3], Learning rate: 0.0001220703125, Epochs: 4', 507.69495506093614)
('Layers: [4, 8, 8, 3], Learning rate: 0.000244140625, Epochs: 3', 507.25932370209136)
('Layers: [4, 2, 128, 3], Learning rate: 0.000244140625, Epochs: 3', 507.10347105476023)
