parameters,performance
('Layers: [8, 2, 5], Learning rate: 0.00048828125, Epochs: 2', 355.4376925841033)
('Layers: [8, 1024, 5], Learning rate: 0.000244140625, Epochs: 3', 353.82626112201535)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 5', 352.4083849264543)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 4', 351.5925429137955)
('Layers: [8, 2, 5], Learning rate: 0.0009765625, Epochs: 1', 350.3176071137472)
('Layers: [8, 512, 5], Learning rate: 0.000244140625, Epochs: 3', 348.49888238470567)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 9', 347.7086104198231)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 6', 345.8968317443881)
('Layers: [8, 1024, 5], Learning rate: 0.000244140625, Epochs: 6', 345.428571264045)
('Layers: [8, 64, 5], Learning rate: 0.0009765625, Epochs: 1', 344.75677527674276)
('Layers: [8, 32, 5], Learning rate: 0.000244140625, Epochs: 4', 344.12060161204386)
('Layers: [8, 8, 5], Learning rate: 0.0009765625, Epochs: 1', 343.6082906243922)
('Layers: [8, 32, 5], Learning rate: 0.000244140625, Epochs: 1', 343.1316243984043)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 14', 342.2805537516915)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 11', 341.4833307139981)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 4', 339.2271012016894)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 2', 338.4000421301769)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 8', 338.18941280137545)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 11', 338.04491018413444)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 9', 336.499997952325)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 8', 335.76205235039293)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 9', 335.0784442002571)
('Layers: [8, 2, 5], Learning rate: 0.00048828125, Epochs: 1', 334.72257232170546)
('Layers: [8, 32, 5], Learning rate: 0.000244140625, Epochs: 5', 333.205181543473)
('Layers: [8, 128, 5], Learning rate: 0.0009765625, Epochs: 1', 330.7302557367857)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 2', 330.05800536164213)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 5', 328.91293671133036)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 7', 328.122525045319)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 4', 328.00657328619894)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 10', 327.62609819436966)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 19', 326.67585837528804)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 7', 325.2142404984069)
('Layers: [8, 1024, 5], Learning rate: 0.000244140625, Epochs: 1', 324.49556149540206)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 10', 320.54053726256046)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 7', 318.90110994743605)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 1', 317.19097489808246)
('Layers: [8, 32, 5], Learning rate: 0.00048828125, Epochs: 2', 316.7627954169119)
('Layers: [8, 256, 5], Learning rate: 0.00048828125, Epochs: 4', 315.81137267244236)
('Layers: [8, 16, 5], Learning rate: 0.000244140625, Epochs: 7', 315.32300549934973)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 19', 315.28845955311016)
('Layers: [8, 32, 5], Learning rate: 0.00048828125, Epochs: 1', 314.571860264769)
('Layers: [8, 1024, 5], Learning rate: 0.00048828125, Epochs: 2', 314.4461617112964)
('Layers: [8, 16, 5], Learning rate: 0.00048828125, Epochs: 2', 313.58306940683366)
('Layers: [8, 32, 5], Learning rate: 0.000244140625, Epochs: 10', 311.8605284805226)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 14', 310.8226581674152)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 5', 310.7860620321417)
('Layers: [8, 4, 5], Learning rate: 0.000244140625, Epochs: 4', 308.1273213461194)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 6', 307.99037053446966)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 3', 305.92726458987767)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 7', 304.6649751222037)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 9', 304.19374998503463)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 10', 304.08971668707215)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 2', 304.02796372667456)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 7', 302.63466834637387)
('Layers: [8, 128, 5], Learning rate: 0.000244140625, Epochs: 2', 299.51951634742505)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 6', 298.18285323459287)
('Layers: [8, 32, 5], Learning rate: 0.000244140625, Epochs: 2', 297.81247959694747)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 13', 297.7331244608795)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 8', 296.3313683075449)
('Layers: [8, 64, 5], Learning rate: 0.00048828125, Epochs: 2', 295.6183461770985)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 5', 295.6140183641616)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 9', 294.95357092585283)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 11', 294.3636687866277)
('Layers: [8, 256, 5], Learning rate: 0.00048828125, Epochs: 3', 293.6011606201756)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 17', 293.55448224633216)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 14', 293.47852357615693)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 9', 291.5435502222415)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 8', 291.4648140301673)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 3', 291.2792421129049)
('Layers: [8, 8, 5], Learning rate: 0.00048828125, Epochs: 2', 290.1237894593777)
('Layers: [8, 8, 5], Learning rate: 0.000244140625, Epochs: 1', 289.44152238650804)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 5', 289.21594022319175)
('Layers: [8, 512, 5], Learning rate: 0.000244140625, Epochs: 2', 288.608693316275)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 6', 288.480763540325)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 3', 288.3609675299505)
