parameters,performance
('Layers: [16, 1024, 9], Learning rate: 0.0001220703125, Epochs: 1', 720.3295468690467)
('Layers: [16, 32, 9], Learning rate: 0.000244140625, Epochs: 1', 631.8010866617201)
('Layers: [16, 2, 9], Learning rate: 0.0001220703125, Epochs: 2', 621.461104046824)
('Layers: [16, 128, 9], Learning rate: 0.0001220703125, Epochs: 3', 550.315129179358)
('Layers: [16, 16, 9], Learning rate: 0.0001220703125, Epochs: 5', 549.9056358164878)
('Layers: [16, 32, 9], Learning rate: 0.0001220703125, Epochs: 2', 540.6227806511212)
('Layers: [16, 16, 9], Learning rate: 0.0001220703125, Epochs: 3', 522.1564251084453)
('Layers: [16, 4, 9], Learning rate: 0.0001220703125, Epochs: 2', 513.6461957271101)
('Layers: [16, 32, 9], Learning rate: 0.0001220703125, Epochs: 1', 493.9917393323647)
('Layers: [16, 32, 9], Learning rate: 0.0001220703125, Epochs: 4', 485.81843724033865)
('Layers: [16, 256, 9], Learning rate: 0.000244140625, Epochs: 3', 479.016571131971)
('Layers: [16, 1024, 9], Learning rate: 0.00048828125, Epochs: 1', 470.6789232144103)
('Layers: [16, 8, 9], Learning rate: 0.0001220703125, Epochs: 1', 469.5583361520091)
('Layers: [16, 1024, 9], Learning rate: 0.0001220703125, Epochs: 5', 468.89295787246334)
('Layers: [16, 256, 9], Learning rate: 0.000244140625, Epochs: 2', 449.9080650700737)
('Layers: [16, 16, 9], Learning rate: 0.0001220703125, Epochs: 1', 447.2766860065315)
('Layers: [16, 32, 9], Learning rate: 0.0001220703125, Epochs: 5', 447.2276505578937)
('Layers: [16, 256, 9], Learning rate: 0.0001220703125, Epochs: 5', 444.3467209596739)
('Layers: [16, 32, 9], Learning rate: 0.0009765625, Epochs: 1', 438.33773329505505)
('Layers: [16, 256, 9], Learning rate: 0.00048828125, Epochs: 1', 433.20573062481503)
('Layers: [16, 32, 9], Learning rate: 0.000244140625, Epochs: 6', 428.3250917496248)
('Layers: [16, 4, 9], Learning rate: 0.0001220703125, Epochs: 5', 423.756687975519)
('Layers: [16, 128, 9], Learning rate: 0.0001220703125, Epochs: 1', 419.4769637315359)
('Layers: [16, 32, 9], Learning rate: 0.000244140625, Epochs: 3', 419.1773654108231)
('Layers: [16, 512, 9], Learning rate: 0.0001220703125, Epochs: 5', 415.2057625375199)
('Layers: [16, 64, 9], Learning rate: 0.0001220703125, Epochs: 8', 414.8713331866838)
('Layers: [16, 256, 9], Learning rate: 0.0001220703125, Epochs: 4', 414.6101304662009)
('Layers: [16, 4, 9], Learning rate: 0.000244140625, Epochs: 2', 412.1566896591428)
('Layers: [16, 128, 9], Learning rate: 0.00048828125, Epochs: 2', 409.3596154988485)
('Layers: [16, 1024, 9], Learning rate: 0.0009765625, Epochs: 1', 409.2452971455578)
('Layers: [16, 2, 9], Learning rate: 0.0009765625, Epochs: 1', 405.58392000514766)
('Layers: [16, 1024, 9], Learning rate: 0.0001220703125, Epochs: 3', 405.5293884339003)
('Layers: [16, 2, 9], Learning rate: 0.0001220703125, Epochs: 5', 401.6537003315331)
('Layers: [16, 512, 9], Learning rate: 0.000244140625, Epochs: 2', 400.9830868015799)
('Layers: [16, 2, 9], Learning rate: 0.0001220703125, Epochs: 3', 399.34556378314073)
